ProtGuessDensity:                                                                  
     1               2               3               4               5          
1      5.60854202e-01  3.91158288e-01  3.05437325e-01  0.00000000e+00  1.68028736e-08
2      3.91158288e-01  2.72806740e-01  2.13022103e-01  0.00000000e+00 -1.98829133e-08
3      3.05437325e-01  2.13022103e-01  1.66339058e-01  0.00000000e+00  1.90644955e-08
4      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
5      1.68028736e-08 -1.98829133e-08  1.90644955e-08  0.00000000e+00  5.60854202e-01
6      1.98829160e-08  3.59071410e-08  3.91390977e-09  0.00000000e+00 -3.91158288e-01
7      1.90644958e-08 -3.91390811e-09  1.57813616e-08  0.00000000e+00  3.05437325e-01
8      0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
                                                                                
                    6               7               8                           
1      1.98829160e-08  1.90644958e-08  0.00000000e+00                           
2      3.59071410e-08 -3.91390811e-09  0.00000000e+00                           
3      3.91390977e-09  1.57813616e-08  0.00000000e+00                           
4      0.00000000e+00  0.00000000e+00  0.00000000e+00                           
5     -3.91158288e-01  3.05437325e-01  0.00000000e+00                           
6      2.72806740e-01 -2.13022103e-01  0.00000000e+00                           
7     -2.13022103e-01  1.66339058e-01  0.00000000e+00                           
8      0.00000000e+00  0.00000000e+00  0.00000000e+00    
